BUTIKKLOKALE_ID;KUNDENUMMER;KUNDENAVN;LEVERING_DT_TD;STOPPTID_LAGER;RUTE_ID;LEVERANSE_ID
381;976 548;Bunnpris Klett;11.07.2019 11:45:00;11.06.2019 10:00:00;4231;104523
381;976 548;Bunnpris Klett;11.08.2019 18:15:00;11.07.2019 13:00:00;5525;104560
4 979;916 387;Bunnpris Kvenvær;11.05.2019 11:30:00;11.03.2019 21:00:00;2101;104475
4 979;916 387;Bunnpris Kvenvær;11.08.2019 12:00:00;11.06.2019 21:00:00;5101;251549
4 952;912 469;Bunnpris Kyrksæterøra;11.04.2019 11:15:00;11.01.2019 09:00:00;1111;104443
4 952;912 469;Bunnpris Kyrksæterøra;11.06.2019 09:00:00;11.04.2019 21:00:00;3134;104501
4 952;912 469;Bunnpris Kyrksæterøra;11.08.2019 09:45:00;11.06.2019 21:00:00;5798;104562
1 059;499 418;Bunnpris Lade;11.04.2019 09:30:00;11.01.2019 09:00:00;1130;107531
1 059;499 418;Bunnpris Lade;11.06.2019 08:00:00;11.04.2019 21:00:00;3102;107337
1 059;499 418;Bunnpris Lade;11.08.2019 12:00:00;11.07.2019 10:00:00;5214;104633
18 787;498 741;Bunnpris Langmoheia;11.05.2019 04:00:00;11.01.2019 10:00:00;1190;104612
18 787;498 741;Bunnpris Langmoheia;11.08.2019 04:00:00;11.06.2019 10:00:00;4190;104634
855;496 893;Bunnpris Leirfjord;11.05.2019 09:00:00;11.01.2019 10:00:00;1399;105462
855;496 893;Bunnpris Leirfjord;11.08.2019 09:00:00;11.06.2019 10:00:00;4999;105463
259;953 174;Bunnpris Leksvik;11.04.2019 17:15:00;11.01.2019 13:00:00;1403;104444
259;953 174;Bunnpris Leksvik;11.07.2019 10:45:00;11.05.2019 21:00:00;4298;104525
259;953 174;Bunnpris Leksvik;11.08.2019 10:45:00;11.06.2019 21:00:00;5298;105003
877;207 472;Bunnpris Lerkendal;11.05.2019 08:15:00;11.03.2019 21:00:00;2118;104476
877;207 472;Bunnpris Lerkendal;11.07.2019 11:00:00;11.06.2019 10:00:00;4230;104526
877;207 472;Bunnpris Lerkendal;11.08.2019 08:00:00;11.06.2019 21:00:00;5120;104563
18 791;369 157;Bunnpris Melhus;11.04.2019 08:30:00;11.01.2019 09:00:00;1131;104608
18 791;369 157;Bunnpris Melhus;11.06.2019 12:45:00;11.05.2019 10:00:00;3225;104623
18 791;369 157;Bunnpris Melhus;11.08.2019 17:15:00;11.07.2019 13:00:00;5525;104636
238;556 100;Bunnpris Munkegaten;11.04.2019 12:00:00;11.01.2019 10:00:00;1202;237650
238;556 100;Bunnpris Munkegaten;11.06.2019 12:00:00;11.05.2019 10:00:00;3231;237651
238;556 100;Bunnpris Munkegaten;11.08.2019 12:00:00;11.07.2019 10:00:00;5220;237652
18 792;369 314;Bunnpris Olderskog;11.05.2019 10:45:00;11.01.2019 10:00:00;1399;104614
18 792;369 314;Bunnpris Olderskog;11.07.2019 10:45:00;11.05.2019 10:00:00;3599;104624
2 197;358 309;Bunnpris Oppdal;11.05.2019 16:45:00;11.04.2019 13:00:00;2401;104478
2 197;358 309;Bunnpris Oppdal;11.06.2019 11:45:00;11.04.2019 21:00:00;3117;104509
2 197;358 309;Bunnpris Oppdal;11.08.2019 10:45:00;11.06.2019 21:00:00;5106;104571
4 473;382 739;Bunnpris Orkanger;11.04.2019 10:00:00;11.01.2019 09:00:00;1119;104453
4 473;382 739;Bunnpris Orkanger;11.06.2019 09:00:00;11.04.2019 21:00:00;3121;104510
4 473;382 739;Bunnpris Orkanger;11.07.2019 16:00:00;11.06.2019 13:00:00;4433;323754
4 473;382 739;Bunnpris Orkanger;11.08.2019 10:00:00;11.06.2019 21:00:00;5135;104572
352;513 440;Bunnpris Romolslia;11.04.2019 11:00:00;11.01.2019 10:00:00;1208;109500
352;513 440;Bunnpris Romolslia;11.06.2019 18:00:00;11.05.2019 13:00:00;3531;109501
352;513 440;Bunnpris Romolslia;11.08.2019 12:00:00;11.07.2019 10:00:00;5218;109502
2 198;362 624;Bunnpris Rosenborg;11.05.2019 12:00:00;11.04.2019 10:00:00;2202;104479
2 198;362 624;Bunnpris Rosenborg;11.07.2019 09:00:00;11.05.2019 21:00:00;4134;104530
2 198;362 624;Bunnpris Rosenborg;11.08.2019 10:00:00;11.06.2019 21:00:00;5105;104573
4 333;555 631;Bunnpris Rydningen;11.04.2019 16:00:00;11.01.2019 13:00:00;1401;104454
4 333;555 631;Bunnpris Rydningen;11.06.2019 09:00:00;11.04.2019 21:00:00;3112;104511
4 333;555 631;Bunnpris Rydningen;11.08.2019 15:30:00;11.07.2019 13:00:00;5401;104574
1 660;498 428;Bunnpris Røra;11.04.2019 15:45:00;11.01.2019 13:00:00;1403;104913
1 660;498 428;Bunnpris Røra;11.06.2019 16:30:00;11.05.2019 13:00:00;3433;286305
1 660;498 428;Bunnpris Røra;11.07.2019 17:15:00;11.06.2019 13:00:00;4403;104914
3 907;498 352;Bunnpris Sandnessjøen;11.05.2019 08:45:00;11.01.2019 10:00:00;1699;104619
3 907;498 352;Bunnpris Sandnessjøen;11.07.2019 09:45:00;11.05.2019 10:00:00;3999;104630
3 333;554 352;Bunnpris Stadsbygd;11.04.2019 18:45:00;11.01.2019 13:00:00;1403;104458
3 333;554 352;Bunnpris Stadsbygd;11.05.2019 08:00:00;11.03.2019 21:00:00;2116;104483
3 333;554 352;Bunnpris Stadsbygd;11.07.2019 09:45:00;11.05.2019 21:00:00;4136;104533
138;254 664;Bunnpris Stubban;11.05.2019 12:00:00;11.04.2019 10:00:00;2218;104484
138;254 664;Bunnpris Stubban;11.07.2019 12:30:00;11.06.2019 10:00:00;4220;104534
138;254 664;Bunnpris Stubban;11.08.2019 16:30:00;11.07.2019 13:00:00;5425;104579
1 462;226 936;Bunnpris Verdal;11.04.2019 17:45:00;11.01.2019 13:00:00;1433;104462
1 462;226 936;Bunnpris Verdal;11.05.2019 16:00:00;11.04.2019 13:00:00;2402;310071
1 462;226 936;Bunnpris Verdal;11.07.2019 16:15:00;11.06.2019 13:00:00;4403;104539
3 135;355 826;Bunnpris Vestlia;11.05.2019 07:45:00;11.03.2019 21:00:00;2135;104615
