BUTIKKLOKALE_ID;KUNDENUMMER;KUNDENAVN;LEVERING_DT_TD;STOPPTID_LAGER;RUTE_ID;LEVERANSE_ID
4 930;980 433;Kiwi 112 Kirkegata Levanger;11.07.2019 09:30:00;11.05.2019 21:00:00;4110;14669
4 930;980 433;Kiwi 112 Kirkegata Levanger;11.08.2019 09:00:00;11.06.2019 21:00:00;5110;15012
4 817;980 821;Kiwi 113 Orkanger;11.04.2019 09:00:00;11.01.2019 09:00:00;1119;23063
4 817;980 821;Kiwi 113 Orkanger;11.05.2019 16:00:00;11.04.2019 13:00:00;2425;57589
4 817;980 821;Kiwi 113 Orkanger;11.06.2019 08:00:00;11.04.2019 21:00:00;3121;14455
4 817;980 821;Kiwi 113 Orkanger;11.07.2019 15:30:00;11.06.2019 13:00:00;4433;57612
4 817;980 821;Kiwi 113 Orkanger;11.08.2019 08:00:00;11.06.2019 21:00:00;5135;25280
5 460;215 020;Kiwi 114 Tiller;11.04.2019 14:30:00;11.01.2019 13:00:00;1401;296035
5 460;215 020;Kiwi 114 Tiller;11.05.2019 15:00:00;11.04.2019 13:00:00;2425;296036
5 460;215 020;Kiwi 114 Tiller;11.06.2019 19:00:00;11.05.2019 13:00:00;3502;296037
5 460;215 020;Kiwi 114 Tiller;11.07.2019 11:30:00;11.06.2019 10:00:00;4203;43959
